Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
355,Quinten Post,24,GSW,PF,25,8,389,7,15,0.469,3.9,9.1,0.429,3.1,5.9,0.531,0.599,1.3,1.6,0.824,2.4,6.6,9,3.5,0.8,0.9,1.9,4.3,19.2,NA
356,Kessler Edwards,24,DAL,SF,32,10,384,3.3,7.3,0.449,0.8,3,0.281,2.4,4.3,0.565,0.506,0.3,0.3,1,1.5,5.6,7.1,3,1.2,1.2,0.9,3.7,7.7,NA
357,Reggie Jackson,34,PHI,PG,31,1,384,4.9,12.5,0.391,2.3,6.9,0.338,2.5,5.5,0.458,0.485,0.7,0.8,0.778,0.7,3.2,3.9,4.2,1.5,0.3,1.6,3.2,12.7,NA
358,David Roddy,23,2TM,PF,30,3,375,5,10.8,0.464,1.7,5.2,0.333,3.3,5.6,0.586,0.545,1.7,2.1,0.818,1.2,6.3,7.6,3.2,1.3,0.8,2,1.8,13.4,NA
358,David Roddy,23,ATL,PF,27,3,346,4.6,9.7,0.473,1.7,4.5,0.372,2.9,5.2,0.56,0.559,1.9,2.3,0.818,1.1,6.1,7.3,3.1,1.2,0.8,2.1,1.9,12.7,NA
358,David Roddy,23,PHI,PF,3,0,29,9.9,23.6,0.421,2.5,13.7,0.182,7.4,9.9,0.75,0.474,0,0,NA,2.5,8.7,11.2,3.7,2.5,0,1.2,1.2,22.3,NA
359,Trevelin Queen,27,ORL,SG,26,2,373,4.2,12,0.355,1.5,6.3,0.246,2.7,5.7,0.475,0.419,1.3,1.4,0.867,1.9,2.1,4.1,3.2,2.4,1,1.9,3.5,11.3,NA
360,Jaylon Tyson,22,CLE,SG,39,2,363,4.7,10,0.465,1.4,3.9,0.359,3.3,6.1,0.532,0.535,1.4,1.8,0.778,3,4.9,7.8,3.7,0.9,0.2,1.9,4.3,12.1,NA
361,Charles Bassey,24,SAS,C,34,1,363,6.7,11.5,0.586,0,0,NA,6.7,11.5,0.586,0.586,2.1,3.3,0.636,5.6,9.4,15,1.7,1.4,2.9,2.3,4.7,15.6,NA
362,Ousmane Dieng,21,OKC,C,32,0,358,4.7,11.4,0.416,1.9,6.5,0.292,2.8,4.8,0.583,0.5,1.1,1.6,0.688,1.6,5.7,7.3,2.9,1.5,0.7,1.5,2.9,12.5,NA
363,Bol Bol,25,PHO,PF,26,7,356,7.9,15,0.527,2.6,7.7,0.342,5.3,7.3,0.722,0.615,1.8,2.4,0.75,1.5,7.3,8.8,1.6,0.5,2.3,1.6,1.5,20.2,NA
364,Mo Bamba,26,LAC,C,28,2,352,4.9,10.5,0.466,1.5,5.1,0.3,3.4,5.4,0.623,0.539,1.7,2.6,0.68,2.7,9.6,12.3,1.6,0.9,2.9,1.9,5,13.1,NA
365,Robert Williams,27,POR,C,20,3,351,5.1,8,0.641,0.1,0.3,0.333,5,7.7,0.653,0.647,1.5,1.7,0.882,3.6,8.5,12.1,2.2,1.3,3.4,1.7,3.2,11.9,NA
366,Craig Porter Jr.,24,CLE,PG,39,0,349,4.8,8.8,0.553,1.4,3.1,0.467,3.4,5.7,0.6,0.635,1,1.3,0.769,1,3.5,4.5,5.5,1.3,1.2,2.4,1.7,12.2,NA
367,Orlando Robinson,24,2TM,C,27,2,348,4.4,10.2,0.434,0.4,2.1,0.2,4,8.2,0.494,0.455,2.6,3.3,0.781,3.7,5.8,9.5,3.4,1,0.7,2.5,4.4,11.9,NA
367,Orlando Robinson,24,SAC,C,9,0,57,4.4,10.7,0.412,0.6,3.2,0.2,3.8,7.6,0.5,0.441,2.5,4.4,0.571,1.9,6.9,8.8,5.7,1.9,0.6,2.5,3.8,12,NA
367,Orlando Robinson,24,TOR,C,18,2,291,4.5,10.1,0.439,0.4,1.9,0.2,4.1,8.3,0.493,0.457,2.6,3.1,0.84,4.1,5.6,9.6,3,0.9,0.7,2.5,4.6,11.9,NA
368,Jeff Dowtin,27,PHI,PG,30,0,344,4.7,11.2,0.421,1,3.1,0.333,3.7,8.1,0.455,0.467,1.8,2.6,0.68,0.6,3.2,3.9,5,1,0.5,0.5,1.8,12.2,NA
369,Jordan Walsh,20,BOS,PF,42,1,340,2.5,6.8,0.375,1.4,4.6,0.302,1.2,2.2,0.524,0.477,0.7,1.3,0.583,2,3.7,5.7,1.7,1.1,1,1.2,2.8,7.2,NA
370,Paul Reed,25,DET,C,36,0,337,6.4,11.9,0.541,0.6,2.2,0.286,5.8,9.6,0.6,0.568,2.9,3.6,0.794,3.5,6.4,9.9,3.7,3.6,2,1.9,6,16.3,NA
371,Jock Landale,29,HOU,C,31,1,337,5.2,11.3,0.462,0.6,1.7,0.375,4.6,9.6,0.478,0.491,2.5,3.6,0.676,4.3,6.2,10.5,2.8,0.6,1,1.6,3.3,13.6,NA
372,Landry Shamet,27,NYK,SG,30,0,336,4.6,9.6,0.478,2,5.8,0.352,2.6,3.9,0.667,0.583,0.3,0.7,0.429,0.5,1.9,2.5,1.8,1.3,0.2,1.3,2.5,11.6,NA
373,Jaylen Clark,23,MIN,SG,22,4,334,3.8,8.7,0.432,1.7,4.1,0.421,2,4.6,0.442,0.531,1.5,1.9,0.778,1.8,1.4,3.2,1.4,2.4,0.1,0.4,4.5,10.8,NA
374,Sandro Mamukelashvili,25,SAS,PF,39,0,331,7,13.7,0.508,3.2,8.4,0.377,3.8,5.3,0.714,0.623,2.5,3.4,0.742,2.5,7.3,9.8,2.1,1.4,1.1,1.5,3.3,19.6,NA
375,Dwight Powell,33,DAL,C,38,2,328,2.5,3.5,0.719,0.1,0.1,1,2.4,3.4,0.71,0.734,2.2,3.4,0.645,3.5,5,8.6,3.6,1.3,2,1.1,5.3,7.4,NA
376,Dillon Jones,23,OKC,SF,37,0,326,3.2,9.6,0.333,1.1,5.3,0.208,2.1,4.3,0.487,0.391,1.2,2.2,0.55,2.5,5.5,8.1,4.1,0.8,0.3,1.5,4,8.7,NA
377,Jalen Pickett,25,DEN,SG,30,0,324,4.3,9.7,0.448,2,5.1,0.391,2.3,4.6,0.512,0.552,0.2,0.2,1,0.6,3.2,3.8,5.9,0.8,0.3,1.3,1.9,10.9,NA
378,Tre Mann,23,CHO,PG,13,0,319,7.9,18.2,0.435,2.7,6.8,0.4,5.2,11.4,0.455,0.509,2.1,2.4,0.905,1.4,2.9,4.3,4.4,0.8,0.5,2.8,2.7,20.7,NA
379,GG Jackson II,20,MEM,PF,19,0,317,6.2,15.6,0.401,2.7,7.7,0.353,3.5,7.8,0.449,0.489,3,4.1,0.722,2.3,4.8,7,2.5,0.7,0.5,2.7,2.6,18.2,NA
380,Trey Jemison,25,2TM,C,29,0,314,4,7.2,0.556,0,0,NA,4,7.2,0.556,0.556,1.4,3.6,0.387,4,5.6,9.6,1.6,0.9,1.4,1.8,6.6,9.4,NA
380,Trey Jemison,25,NOP,C,16,0,166,3.3,6.9,0.469,0,0,NA,3.3,6.9,0.469,0.469,1.7,4.6,0.381,4.8,4.8,9.5,2.2,1.5,1.3,2.2,5.9,8.2,NA
380,Trey Jemison,25,LAL,C,13,0,148,4.9,7.5,0.645,0,0,NA,4.9,7.5,0.645,0.645,1,2.4,0.4,3.2,6.6,9.7,1,0.2,1.5,1.5,7.5,10.7,NA
381,Hunter Tyson,24,DEN,PF,41,0,310,3.1,8.6,0.365,1.7,5.7,0.306,1.4,2.9,0.48,0.466,1.9,2.7,0.696,1.6,5.3,7,1.6,0.6,0.6,1.5,4.3,9.9,NA
382,Blake Wesley,21,SAS,SG,37,0,308,4.8,10.4,0.461,0.6,2.8,0.208,4.2,7.6,0.554,0.489,2.1,3.2,0.667,0.7,2.1,2.8,7.7,1.6,0.4,3.3,2.1,12.3,NA
383,Rayan Rupert,20,POR,SG,40,0,306,3.8,9.5,0.395,1.2,4.4,0.27,2.6,5.2,0.5,0.457,1.8,2.4,0.75,2.5,2.9,5.4,2.1,0.9,0.2,2.2,2.8,10.5,NA
384,Malaki Branham,21,SAS,SG,36,0,303,6.1,14.1,0.429,2.6,6.8,0.386,3.4,7.4,0.468,0.521,2,2.4,0.85,0.4,4.2,4.5,3.1,0.8,0.2,3.3,1.9,16.8,NA
385,Alex Len,31,2TM,C,40,3,298,2.9,5.6,0.522,0.1,0.7,0.167,2.8,4.8,0.575,0.533,0.8,1.6,0.538,3.3,5.6,8.8,3.9,1,2.3,1.3,4.7,6.8,NA
385,Alex Len,31,SAC,C,36,3,258,3.1,5.7,0.537,0.1,0.8,0.167,2.9,4.9,0.6,0.549,1,1.8,0.538,3.5,5.4,8.9,4.2,1.1,2.5,1.5,4.9,7.3,NA
385,Alex Len,31,LAL,C,4,0,40,1.8,4.5,0.4,0,0,NA,1.8,4.5,0.4,0.4,0,0,NA,1.8,6.3,8.1,1.8,0,0.9,0,3.6,3.6,NA
386,Wendell Moore Jr.,23,2TM,SG,24,1,293,4.1,9.1,0.446,0.7,2.5,0.3,3.3,6.6,0.5,0.486,1.8,2.1,0.882,2.3,4.8,7.1,2.9,1.4,0.4,1.6,2.6,10.7,NA
386,Wendell Moore Jr.,23,DET,SG,20,1,219,3.8,8.2,0.46,0.7,2.3,0.286,3.1,5.9,0.528,0.5,2.1,2.3,0.929,1.8,5.4,7.2,3.8,1.6,0.5,1.5,2.5,10.4,NA
386,Wendell Moore Jr.,23,CHO,SG,4,0,74,4.9,11.7,0.417,1,2.9,0.333,3.9,8.8,0.444,0.458,1,1.5,0.667,3.9,2.9,6.8,0.5,0.5,0,1.9,2.9,11.7,NA
387,Reece Beekman,23,2TM,PG,27,0,291,2.6,8.3,0.313,0.5,3.3,0.148,2.1,4.9,0.425,0.343,0.7,1.4,0.545,0.6,1.9,2.5,4.2,2.4,0.2,2,2.2,6.4,NA
387,Reece Beekman,23,GSW,PG,2,0,4,9,9,1,0,0,NA,9,9,1,1,0,0,NA,9,0,9,9,9,0,0,9,18,NA
387,Reece Beekman,23,BRK,PG,25,0,287,2.5,8.3,0.303,0.5,3.4,0.148,2,4.9,0.41,0.333,0.8,1.4,0.545,0.5,1.9,2.4,4.1,2.3,0.3,2,2.1,6.3,NA
388,Taj Gibson,39,CHO,C,25,11,290,3.8,8.1,0.477,0.1,0.2,0.5,3.7,7.8,0.476,0.485,1.4,2,0.688,5,6.7,11.7,1.7,1,1.5,2.4,4.8,9.2,NA
389,Antonio Reeves,24,NOP,SG,28,0,286,5.7,13.6,0.417,2.4,7.3,0.328,3.3,6.3,0.52,0.505,1,1.1,0.889,1.3,2.5,3.8,2.5,1.3,0.3,1.3,1.8,14.7,NA
390,Patty Mills,36,2TM,PG,22,0,286,3.7,10.7,0.341,2.5,8.3,0.303,1.1,2.4,0.474,0.459,0.8,0.9,0.857,0.4,2.3,2.6,3,1.6,0.4,2.1,2.3,10.6,NA
390,Patty Mills,36,UTA,PG,17,0,260,3.6,10.5,0.342,2.4,7.9,0.298,1.2,2.6,0.474,0.454,0.7,0.7,1,0.4,2.5,2.9,2.9,1.7,0.4,2.2,1.7,10.2,NA
390,Patty Mills,36,LAC,PG,5,0,26,4.2,12.5,0.333,4.2,12.5,0.333,0,0,NA,0.5,1.4,2.8,0.5,0,0,0,4.2,1.4,0,1.4,8.3,13.8,NA
391,Jamal Cain,25,NOP,SF,24,0,285,3.5,8.8,0.4,1.5,5.2,0.293,2,3.7,0.552,0.486,1.6,2.5,0.65,2.4,4,6.4,1.8,1.5,0.9,1.3,3.2,10.2,NA
392,Terrence Shannon Jr.,24,MIN,SG,24,1,282,6.5,13.4,0.486,1.1,3.4,0.333,5.4,10,0.538,0.529,2.2,2.7,0.81,1.3,3.8,5.1,3.4,0.8,0.6,1.7,2.6,16.3,NA
393,Cory Joseph,33,ORL,PG,35,1,278,3.4,9.3,0.361,2.3,6.7,0.346,1,2.6,0.4,0.486,0.5,0.8,0.667,0.8,2.7,3.5,4,1.6,0.4,1.6,2.8,9.6,NA
394,Doug McDermott,33,SAC,SF,34,3,277,4.9,11.4,0.432,4.3,9.7,0.44,0.6,1.7,0.385,0.619,0.4,0.6,0.6,0.3,2.1,2.3,0.5,0.5,0.3,0.8,3.5,14.6,NA
395,Jarred Vanderbilt,25,LAL,PF,17,0,269,3.6,7.4,0.491,0.9,2.8,0.333,2.7,4.6,0.588,0.555,1.2,2.4,0.5,4.3,8,12.3,2.4,2.3,0.8,1.3,4.1,9.4,NA
396,Dru Smith,27,MIA,SG,14,1,268,4.2,8.2,0.508,2.1,4,0.533,2,4.2,0.484,0.639,1.2,1.6,0.75,1.6,3.2,4.8,3.1,2.8,0.8,2.3,4,11.7,NA
397,Elfrid Payton,30,2TM,PG,13,5,267,3.5,9,0.388,0,0.1,0,3.5,8.9,0.394,0.388,0.1,0.3,0.5,0.8,4.2,5,9.2,2.2,0.8,3.6,3,7.1,NA
397,Elfrid Payton,30,NOP,PG,7,3,144,5.7,11.5,0.5,0,0.2,0,5.7,11.3,0.511,0.5,0.2,0.5,0.5,1.2,4.7,6,12,2.5,0.7,5,2.5,11.7,NA
397,Elfrid Payton,30,CHO,PG,6,2,123,0.9,6.1,0.143,0,0,NA,0.9,6.1,0.143,0.143,0,0,NA,0.3,3.5,3.8,5.9,1.8,0.9,2,3.5,1.8,NA
398,Isaiah Wong,24,CHO,SG,20,0,265,5.6,14.3,0.39,1.8,4.5,0.394,3.8,9.8,0.389,0.452,3.4,4.6,0.735,1.9,2.4,4.3,3.8,1.5,0,2.4,2.9,16.3,NA
399,Jeff Green,38,HOU,PF,21,2,262,5.9,11.4,0.518,2.2,6.7,0.327,3.7,4.7,0.794,0.614,2.1,2.5,0.833,1.1,3.6,4.7,1.2,0.7,0.4,0.8,2.7,16.1,NA
400,Quenton Jackson,26,IND,PG,18,7,254,5.5,10.8,0.513,1.3,3.4,0.375,4.3,7.4,0.577,0.572,2.1,3,0.714,1.4,2.4,3.8,4.4,1.3,0.7,1.6,4.5,14.5,NA
401,Johnny Furphy,20,IND,SG,39,0,253,3,8.3,0.362,1.6,4.7,0.333,1.4,3.6,0.4,0.457,1.3,1.3,1,2.4,3.3,5.7,1.4,1.4,1.1,1.3,3.8,8.8,NA
402,Dante Exum,29,DAL,PG,13,8,249,6.2,13.3,0.467,2,4.9,0.412,4.2,8.4,0.5,0.543,2.9,4,0.714,0.3,2.7,3,6.2,1.4,0.4,2.3,2.9,17.3,NA
403,Christian Koloko,24,LAL,C,29,0,246,4.1,6.3,0.651,0,0.3,0,4.1,6,0.683,0.651,1,1.2,0.875,4.1,5.3,9.4,1.8,1,1.2,1,4.5,9.2,NA
404,Johnny Davis,22,WAS,SG,34,0,242,4.8,11.6,0.41,1,4.3,0.241,3.7,7.3,0.51,0.455,1.3,2.2,0.6,1.5,4.2,5.7,1.6,2.2,0.9,1,2.7,11.9,NA
405,Kai Jones,24,2TM,C,29,0,242,5.2,6.8,0.761,0,0.3,0,5.2,6.5,0.795,0.761,1.8,2.4,0.75,2.5,5.5,8,1.5,0.9,2.1,1.6,3.7,12.2,NA
405,Kai Jones,24,LAC,C,28,0,208,4.5,6.2,0.722,0,0.3,0,4.5,5.9,0.765,0.722,1.6,2.1,0.75,2.6,5.4,8,1.7,1,2.3,1.7,4,10.6,NA
405,Kai Jones,24,DAL,C,1,0,34,9.5,10.6,0.9,0,0,NA,9.5,10.6,0.9,0.9,3.2,4.2,0.75,2.1,6.4,8.5,0,0,1.1,1.1,2.1,22.2,NA
406,Kevin Love,36,MIA,PF,21,8,236,5.9,16.9,0.351,3.4,9.8,0.344,2.6,7.2,0.362,0.45,2.4,3.5,0.696,3.2,10.8,14,3.2,2.3,0.6,2.1,2.9,17.7,NA
407,Tristan Thompson,33,CLE,C,32,0,234,3.4,7.7,0.44,0,0.5,0,3.4,7.2,0.468,0.44,0.8,3.4,0.227,3.2,10.6,13.8,3.2,0.2,1.2,1.7,4.2,7.5,NA
408,Mouhamed Gueye,22,ATL,PF,15,11,234,5.5,13.1,0.424,1.5,6.8,0.227,4,6.3,0.634,0.482,1.2,1.7,0.727,1.7,6,7.7,1.4,2.3,2.2,0.9,3.5,13.8,NA
409,Josh Minott,22,MIN,SF,36,0,230,5,11.3,0.444,1.1,5,0.219,3.9,6.3,0.625,0.493,1.7,2,0.846,1.4,4.4,5.8,2.2,1.9,1.7,1.3,4.4,12.8,NA
410,Isaac Jones,24,SAC,PF,26,0,227,6.5,9.7,0.672,0.2,0.6,0.25,6.3,9,0.702,0.68,2.2,4.1,0.538,2.2,3.8,6,1.3,0.5,1.3,1.9,4.1,15.4,NA
411,Jevon Carter,29,CHI,PG,29,0,225,5.9,15,0.394,3.8,10.9,0.353,2.1,4.2,0.5,0.521,1.3,1.6,0.8,0.3,4.2,4.5,4.8,1.4,0.3,1.4,1.8,17,NA
412,Bones Hyland,24,LAC,PG,20,0,222,7.3,18.6,0.391,5,13,0.388,2.3,5.7,0.4,0.526,3.7,4.2,0.885,0.8,3.1,3.9,4.5,2.9,0.6,3.9,4.2,23.4,NA
413,Anthony Gill,32,WAS,PF,39,0,218,3.8,7.4,0.511,1,2.6,0.375,2.8,4.8,0.586,0.578,3.1,5,0.633,1,4.3,5.3,1.2,1,0.3,1,3,11.7,NA
414,Ariel Hukporti,22,NYK,C,25,1,217,3.5,5.1,0.677,0,0,NA,3.5,5.1,0.677,0.677,1,2.2,0.462,2.3,6.1,8.5,1.8,0.2,2.5,3.5,5.3,8,NA
415,Vince Williams Jr.,24,MEM,SG,12,1,213,5.7,13.7,0.42,1.9,6.8,0.275,3.9,6.9,0.561,0.488,1.9,2.7,0.688,2,5.4,7.4,4.2,1.2,0.3,3.2,3.9,15.2,NA
416,Kobe Brown,25,LAC,PF,27,0,209,4.8,10.2,0.475,0.7,3.4,0.2,4.1,6.7,0.615,0.508,0.7,0.9,0.8,2.9,6.2,9.1,2.9,0.7,0.5,1.2,2.8,11,NA
417,Jaden Springer,22,2TM,SG,32,0,208,3.3,8.5,0.388,1.6,4.5,0.346,1.7,4,0.435,0.48,3.3,4.7,0.704,1.2,4.2,5.4,3.3,2.6,0.3,1.6,4,11.4,NA
417,Jaden Springer,22,BOS,SG,26,0,141,3.1,8.7,0.353,1.5,4.9,0.316,1.5,3.8,0.4,0.441,3.8,5.4,0.714,1,5.1,6.1,2.6,3.1,0.3,1,4.3,11.5,NA
417,Jaden Springer,22,UTA,PG,6,0,67,3.8,8.1,0.467,1.6,3.8,0.429,2.1,4.3,0.5,0.567,2.1,3.2,0.667,1.6,2.1,3.8,4.8,1.6,0.5,2.7,3.2,11.3,NA
418,Xavier Tillman Sr.,26,BOS,C,29,1,207,2.1,8,0.261,0.9,4.7,0.185,1.2,3.3,0.368,0.315,0.2,0.3,0.5,1.6,5,6.6,1.2,1.6,0.9,2.1,2.8,5.2,NA
419,Brandon Williams,25,DAL,PG,21,0,206,5.6,12.4,0.451,1.7,4.7,0.37,3.8,7.7,0.5,0.521,2.6,3.3,0.789,0.3,3.3,3.7,5.4,1.2,0.3,2.8,2.4,15.6,NA
420,Pat Spencer,28,GSW,PG,29,0,203,5.9,14.9,0.393,0.4,3,0.118,5.5,11.9,0.463,0.405,2,2.7,0.733,2.7,4.8,7.4,6.7,2,0.5,2.5,2.8,14,NA
421,Dario Šarić,30,DEN,C,15,4,203,3.4,9.9,0.339,1.2,4.6,0.269,2.1,5.3,0.4,0.402,1.2,1.8,0.7,2.5,6.2,8.7,3.9,1.2,0.2,2.5,3.2,9.2,NA
422,Jordan McLaughlin,28,2TM,PG,33,0,202,3.2,8.2,0.391,2,4.8,0.407,1.2,3.4,0.368,0.511,2.1,3,0.706,0.7,3,3.7,5.5,2.1,0,2,2.5,10.5,NA
422,Jordan McLaughlin,28,SAC,PG,28,0,190,3,8.3,0.364,1.9,4.9,0.385,1.1,3.4,0.333,0.477,2.1,3,0.688,0.8,3.2,4,4.5,2.1,0,2.1,2.5,10,NA
422,Jordan McLaughlin,28,SAS,PG,5,0,12,6,6,1,3,3,1,3,3,1,1.25,3,3,1,0,0,0,21,3,0,0,3,18,NA
423,Duop Reath,28,POR,C,31,0,198,5.6,13.1,0.431,2.9,8.9,0.327,2.7,4.2,0.652,0.542,1.8,2.2,0.833,2.2,4.7,6.9,1.8,0.5,1.1,1.5,3.3,16,NA
424,Damion Baugh,24,CHO,SG,8,0,198,4,11.8,0.338,1.3,6,0.212,2.7,5.8,0.469,0.392,1.6,1.8,0.9,1.1,2.9,4,5.5,2.4,0.2,2.5,2.2,10.9,NA
425,Tristan Vukcevic,21,WAS,C,20,0,186,7.7,15.9,0.488,2.5,7.9,0.317,5.2,7.9,0.659,0.567,3.9,5,0.769,2.3,7.9,10.3,3.1,1,1.4,2.9,4.5,21.9,NA
426,Luka Garza,26,MIN,C,30,0,185,8,16.7,0.477,1.4,5.8,0.233,6.6,10.9,0.607,0.517,3.7,5.6,0.655,5.6,3.7,9.3,1.6,1.2,0.6,1.9,5.3,21,NA
427,Marvin Bagley III,25,2TM,PF,21,1,183,7.7,14.4,0.534,0.6,2.4,0.25,7.1,12,0.59,0.555,3,4.5,0.652,5.3,6.1,11.4,1.4,1.4,1,2.2,2.6,18.9,NA
427,Marvin Bagley III,25,WAS,C,19,1,166,8.2,15.4,0.535,0.4,2.2,0.2,7.8,13.2,0.59,0.549,3.3,5,0.652,5.9,6.3,12.1,1.5,1.5,1.1,2.4,2.6,20.2,NA
427,Marvin Bagley III,25,MEM,PF,2,0,17,2.1,4.2,0.5,2.1,4.2,0.5,0,0,NA,0.75,0,0,NA,0,4.2,4.2,0,0,0,0,2.1,6.4,NA
428,Torrey Craig,34,2TM,SF,15,2,175,6.2,12.5,0.492,3.9,9.3,0.422,2.3,3.3,0.688,0.648,1.2,1.6,0.75,3.3,4.3,7.6,1.6,0.4,1,0.2,4.1,17.5,NA
428,Torrey Craig,34,CHI,SF,9,1,113,7,14.3,0.489,4.8,11.2,0.429,2.2,3.2,0.7,0.656,1,1.3,0.75,2.5,5.4,8,1.6,0.6,0.3,0,4.8,19.8,NA
428,Torrey Craig,34,BOS,SF,6,1,62,4.6,9.3,0.5,2.3,5.8,0.4,2.3,3.5,0.667,0.625,1.7,2.3,0.75,4.6,2.3,7,1.7,0,2.3,0.6,2.9,13.4,NA
429,Devin Carter,22,SAC,PG,18,0,168,4.7,14.1,0.333,1.9,7.1,0.273,2.8,7.1,0.394,0.402,3.2,4.3,0.75,1.5,7.3,8.8,4.5,1.1,0.6,1.7,3,14.6,NA
430,Jaylen Nowell,25,NOP,SG,8,0,168,5.6,15.6,0.356,1.7,5.8,0.296,3.9,9.9,0.391,0.411,1.5,2.4,0.636,1.3,3,4.3,3.9,0.2,0.9,1.7,1.9,14.4,NA
431,Killian Hayes,23,BRK,PG,6,5,162,4,9.6,0.419,1.8,4.7,0.381,2.2,4.9,0.455,0.512,2.2,2.7,0.833,1.1,2.9,4,6.9,0.9,0.9,2,2.9,12,NA
432,Bismack Biyombo,32,SAS,C,9,8,159,5.9,9.1,0.65,0,0,NA,5.9,9.1,0.65,0.65,0.7,2,0.333,3.2,8.4,11.5,2.5,1.1,2,2,4.1,12.5,NA
433,Dominick Barlow,21,ATL,SF,19,3,153,5.6,11.5,0.49,1.2,3.3,0.357,4.5,8.2,0.543,0.541,1.4,2.4,0.6,2.1,4.9,7.1,0.9,0.9,1.6,0.5,3.1,13.9,NA
434,Josh Richardson,31,MIA,SG,8,0,150,2.6,9.1,0.289,1.4,5.3,0.273,1.2,3.8,0.313,0.368,1,1,1,1.4,1.4,2.9,2.9,1.9,0.2,1.9,4.1,7.7,NA
435,Drew Peterson,25,BOS,PF,18,1,149,3.1,7,0.448,2.2,5.6,0.391,1,1.4,0.667,0.603,1.4,1.7,0.857,1.2,6,7.2,3.1,1,0.5,1.4,3.1,9.9,NA
436,Tyler Kolek,23,NYK,PG,29,0,148,4.4,11.4,0.383,2.7,6.8,0.393,1.7,4.6,0.368,0.5,1.5,1.5,1,0.5,3.2,3.6,5.4,1.7,0.2,2.2,2.9,12.9,NA
437,Bruno Fernando,26,TOR,C,17,2,147,6.4,12,0.531,0,0,NA,6.4,12,0.531,0.531,1.5,2,0.75,5.1,7.3,12.5,4.4,1,2.2,3.4,6.6,14.2,NA
438,Enrique Freeman,24,IND,PF,19,1,139,3.1,6.5,0.48,0.3,1.6,0.167,2.8,4.9,0.579,0.5,1.8,3.4,0.538,1.6,3.4,4.9,2.1,0.5,0.5,1.3,4.7,8.3,NA
439,MarJon Beauchamp,24,2TM,SF,29,0,139,5.7,14,0.407,2.3,6.2,0.375,3.4,7.8,0.433,0.491,2.8,4.1,0.688,2.3,6.7,9.1,2.6,0.8,0.3,3.6,3.1,16.6,NA
439,MarJon Beauchamp,24,MIL,SF,26,0,122,5.3,13.9,0.383,2.1,6.2,0.333,3.2,7.7,0.423,0.457,2.7,3.5,0.75,2.1,7.4,9.4,2.4,0.9,0.3,3.8,3,15.3,NA
439,MarJon Beauchamp,24,LAC,SF,3,0,17,8.5,14.8,0.571,4.2,6.4,0.667,4.2,8.5,0.5,0.714,4.2,8.5,0.5,4.2,2.1,6.4,4.2,0,0,2.1,4.2,25.4,NA
440,Elijah Harkless,24,UTA,SG,10,0,138,2.9,9.1,0.314,1.8,6.5,0.28,1,2.6,0.4,0.414,0.8,1.6,0.5,2.3,3.1,5.5,2.1,2.6,0.3,0.8,4.7,8.3,NA
